reproduce	 v. 复制；再生；生殖；使…在脑海中重现
endanger	 v. 危及；使遭到危险
curt	 adj. 简略的；简要的；草率的；简单粗暴的 n. (Curt)人名；(法)屈尔；(英)柯特；(德、西、芬、罗、瑞典)库尔特
infantile	 adj. 婴儿的；幼稚的；初期的
lenient	 adj. 宽大的；仁慈的 n. (Lenient)人名；(法)勒尼安
observe	 v. 庆祝
analogue	 n. 类似物；类似情况；对等的人 adj. 类似的；相似物的；模拟计算机的
abolish	 v. 废除，废止；取消，革除
misappropriate	 v. 侵占；盗用；滥用
partial	 adj. 局部的；偏爱的；不公平的
diesel	 n. 柴油机；柴油；（俚）健康的身体 adj. 内燃机传动的；供内燃机用的
forefront	 n. 最前线，最前部；活动的中心
federate	 adj. 同盟的；联邦制度下的；联合的 v. 使结成同盟；使结成联邦
flowerpot	 n. 花盆；花钵
distinct	 adj. 明显的；独特的；清楚的；有区别的
track	 n. 轨道；足迹，踪迹；小道 v. 追踪；通过；循路而行；用纤拉
diversity	 n. 多样性；差异
creak	 n. 嘎吱嘎吱声 v. 发出咯吱咯吱声；勉强运转
feeble	 adj. 微弱的，无力的；虚弱的；薄弱的
luncheon	 n. 午宴；正式的午餐会
reception	 n. 接待；接收；招待会；感受；反应
prediction	 n. 预报；预言
dent	 n. 凹痕；削弱；减少；齿 v. 产生凹陷；凹进去；削减
sunstroke	 n. 中暑
electrostatic	 adj. 静电的；静电学的
depose	 v. 免职；作证；废黜
crackle	 n. 裂纹；龟裂；爆裂声 v. 使发爆裂声；使产生碎裂花纹
draughty	 adj. 通风的；通风良好的
component	 adj. 组成的，构成的 n. 成分；组件；[电子] 元件
granule	 n. 颗粒
muslim	 n. 穆斯林；穆罕默德信徒 adj. 伊斯兰教的
sympathetic	 adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的 n. 交感神经；容易感受的人
failing	 n. 失败；缺点，过失；弱点 prep. 如果没有… adj. 失败的 v. 失败；不及格（fail的ing形式）
critical	 adj. 鉴定的；[核] 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
hereditary	 adj. 遗传的；世袭的；世代相传的 n. 遗传类
sartorial	 adj. 裁缝的；缝纫的；裁缝匠的
incapacitate	 v. 使无能力；使不能；使不适于
interact	 v. 互相影响；互相作用 n. 幕间剧；幕间休息
algebra	 n. 代数学
totalitarian	 adj. 极权主义的 n. 极权主义者
classified	 adj. 分类的；类别的；机密的 n. 分类广告 v. 把…分类（classify的过去分词）
manic	 adj. 躁狂的；狂热的 n. 躁狂症者
faction	 n. 派别；内讧；小集团；纪实小说
Rugby	 n. 英式橄榄球；拉格比（英格兰中部的城市）
fashionable	 adj. 流行的；时髦的；上流社会的
aloof	 adj. 冷淡的；远离的；冷漠的 adv. 远离；避开地
girdle	 n. 腰带；围绕物；妇女紧身褡 v. 围绕；绕…而行；用带子捆扎
dainty	 adj. 美味的；讲究的；秀丽的；挑剔的 n. 美味
casualty	 n. 意外事故；伤亡人员；急诊室
lasting	 adj. 持久的；永恒的 n. [纺] 厚实斜纹织物 v. 持续；维持（last的ing形式）
inventor	 n. 发明家；[专利] 发明人；创造者
satiate	 v. 充分满足；使厌腻 adj. 饱足的；厌腻的
administer	 v. 管理；执行；给予
carnage	 n. 大屠杀；残杀；大量绝灭
amnesia	 n. 健忘症，[内科] 记忆缺失
speculate	 v. 推测；投机；思索
basketball	 n. 篮球；篮球运动
expenditure	 n. 支出，花费；经费，消费额
grey	 adj. 灰色的；灰白的 v. 使变成灰色；使变老 n. 灰色
gloom	 n. 昏暗；阴暗
falsetto	 n. 假音；假声歌手；[耳鼻喉] 男性女声 adj. 用假声的 adv. 用假声
coach	 n. 教练；旅客车厢；长途公车；四轮大马车 v. 训练；指导
authoritarian	 adj. 独裁主义的；权力主义的 n. 权力主义者；独裁主义者
entertain	 v. 娱乐；招待；怀抱；容纳
figment	 n. 虚构的事；臆造的事物
passion	 n. 激情；热情；酷爱；盛怒
useful	 adj. 有用的，有益的；有帮助的
skim	 v. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入） n. 撇；撇去的东西；表层物；瞒报所得的收入 adj. 脱脂的；撇去浮沫的；表层的
loudspeaker	 n. 喇叭，扬声器；扩音器
sepulchre	 n. 坟墓；圣体安置所（等于Easter sepulchre） vt. 埋葬；以…为坟墓
recurrence	 n. 再发生；循环；重现；重新提起
bland	 adj. 乏味的；温和的；冷漠的 vt. 使…变得淡而无味；除掉…的特性 vi. 变得平淡无奇；丧失特性 n. (Bland)人名；(英)布兰德
moss	 n. 苔藓；泥沼 vt. 使长满苔藓
preferential	 adj. 优先的；选择的；特惠的；先取的
confine	 n. 界限，边界;约束；限制 v. 限制；禁闭
enthral	 v. 奴役；使…做奴隶；迷惑（等于enthrall）
contemplate	 v. 沉思；注视；思忖；预期
successor	 n. 继承者；后续的事物
cemetery	 n. 墓地；公墓
Persian	 adj. 猫老大
slowly	 adv. 缓慢地，慢慢地
wilt	 v. 使枯萎；使畏缩；使衰弱 n. 枯萎；憔悴；衰弱
reserve	 n. 储备，储存；自然保护区；预备队；缄默；[金融] 储备金 v. 储备；保留；预约
condition	 n. 条件；情况；环境；身份 v. 决定；使适应；使健康；以…为条件
actor	 n. 男演员；行动者；作用物
prepare	 v. 准备；使适合；装备；起草
airlift	 n. 空运；空运物资 v. 空运
archaeologist	 n. 考古学家
pal	 n. 朋友，伙伴；同志 v. 结为朋友
stoneware	 n. 瓷器；石器
organise	 v. 组织起来；组织工会
limitation	 n. 限制；限度；极限；追诉时效；有效期限；缺陷
nigger	 n. 黑鬼（蔑称）；社会地位低下的人
Eskimo	 n. 爱斯基摩人；爱斯基摩语 adj. 爱斯基摩人的
astrology	 n. 占星术；占星学；星座
mutton	 n. 羊肉
fulfilment	 n. 实现；成就
equality	 n. 平等；相等；[数] 等式
anaesthetic	 adj. 麻醉的 n. 麻醉剂；麻药
pamphlet	 n. 小册子
fanciful	 adj. 想像的；稀奇的
instalment	 n. 分期付款；装设；就职
fir	 n. 冷杉；枞木 abbr. 弗京（firkin）
shiver	 n. 颤抖，战栗；碎片 v. 颤抖；哆嗦；打碎
beggar	 n. 乞丐；穷人；家伙 v. 使贫穷；使沦为乞丐
predicate	 v. 断定为…；使…基于 n. 谓语，述语 adj. 谓语的；述语的
subversion	 n. 颠覆；破坏
icy	 adj. 冰冷的；冷淡的；结满冰的
popcorn	 n. 爆米花，爆玉米花
PhD	 abbr. 博士学位；哲学博士学位（Doctor of Philosophy）
merely	 adv. 仅仅，只不过；只是
genocide	 n. 种族灭绝；灭绝整个种族的大屠杀
diarrhoea	 n. 腹泻
flame	 n. 火焰；热情；光辉 v. 焚烧；泛红
freight	 v. 运送；装货；使充满 n. 货运；运费；船货
despicable	 adj. 卑劣的；可鄙的
vocally	 adv. 用声音；口头地
witty	 adj. 诙谐的；富于机智的 n. (Witty)人名；(英)威蒂
personnel	 n. 人事部门；全体人员 adj. 人员的；有关人事的
onlooker	 n. 旁观者；观众（等于spectator）
anomaly	 n. 异常；不规则；反常事物
strawberry	 n. 草莓；草莓色
sociological	 adj. 社会的（等于sociologic）；社会学的；针对社会问题的
heaven	 n. 天堂；天空；极乐
glaze	 v. 装以玻璃；上釉于 n. 釉；光滑面
merchandise	 n. 商品；货物 v. 买卖；推销
bronchitis	 n. [内科] 支气管炎
stifle	 v. 扼杀；使窒息；藏匿 n. （马等的）后膝关节；（马等的）[动] 后膝关节病
occupancy	 n. 居住；占有；占用
trust	 n. 信任，信赖；责任；托拉斯 v. 信任，信赖；盼望；赊卖给
rebound	 n. 回弹；篮板球 v. 回升；弹回
narrative	 n. 叙述；故事；讲述 adj. 叙事的，叙述的；叙事体的
equinox	 n. 春分；秋分；昼夜平分点
melancholy	 adj. 忧郁的；使人悲伤的 n. 忧郁；悲哀；愁思
collector	 n. 收藏家；[电子] 集电极；收税员；征收者
donation	 n. 捐款，捐赠物；捐赠
frontage	 n. 前方；房子的正面；临街
watery	 adj. 水的；淡的；湿的；松软的；有雨意的
labourer	 n. 劳动者；劳工
rhinoceros	 n. [脊椎] 犀牛
sterling	 adj. 纯正的；英币的；纯银制的 n. 英国货币；标准纯银
dew	 n. 珠，滴；露水；清新 vt. （露水等）弄湿 vi. 结露水
ultimate	 adj. 最终的；极限的；根本的 n. 终极；根本；基本原则
resolution	 n. [物] 分辨率；决议；解决；决心
fig	 n. 无花果；无花果树；少许，一些；无价值的东西；服装 vt. 打扮；使马跑快
groundwork	 n. 基础；地基，根基
liberalism	 n. 自由主义；开明的思想或见解
subdue	 v. 征服；抑制；减轻
artificial	 adj. 人造的；仿造的；虚伪的；非原产地的；武断的
transmute	 v. 使变形；使变质
retard	 v. 延迟；阻止；妨碍；使减速 n. 延迟；阻止
parson	 n. 牧师，教区牧师；神职人员
income	 n. 收入，收益；所得
belief	 n. 相信，信赖；信仰；教义
drain	 v. 排水；流干 n. 排水；下水道，排水管；消耗
district	 n. 区域；地方；行政区
fifteen	 n. 十五；十五个；十五人组成的橄榄球队 adj. 十五的 num. 十五
sideboard	 n. 餐具柜；侧板，边线界墙
etiquette	 n. 礼节，礼仪；规矩
categorize	 v. 分类
rickshaw	 n. （等于ricksha）人力车；黄包车
saucepan	 n. 炖锅；深平底锅
summon	 v. 召唤；召集；鼓起；振作
sparingly	 adv. 节俭地；保守地；爱惜地
smoker	 n. 吸烟者；薰制工
reciprocal	 adj. 互惠的；相互的；倒数的，彼此相反的 n. [数] 倒数；互相起作用的事物
disrupt	 v. 破坏；使瓦解；使分裂；使中断；使陷于混乱 adj. 分裂的，中断的；分散的
exhort	 v. 忠告；劝诫
distinction	 n. 区别；差别；特性；荣誉、勋章
assortment	 n. 分类；混合物
blacksmith	 n. 铁匠；锻工
designation	 n. 指定；名称；指示；选派
ingenious	 adj. 有独创性的；机灵的，精制的；心灵手巧的
versatile	 adj. 多才多艺的；通用的，万能的；多面手的
read	 v. 阅读；读懂，理解 n. 阅读；读物 adj. 有学问的
underclass	 n. 下层阶级，下层社会；一、二年级学生
model	 n. 模型；典型；模范；模特儿；样式 v. 模拟；塑造；模仿 adj. 模范的；作模型用的
obscene	 adj. 淫秽的；猥亵的；可憎的
mash	 n. 饲料；糊状物；麦芽浆 v. 捣碎；调情
policewoman	 n. 女警察；女警官
sedative	 n. [药] 镇静剂；能使安静的东西；止痛药 adj. 使镇静的；使安静的
dote	 v. 溺爱；昏聩 n. (Dote)人名；(日)土手 (姓)；(中非)多泰
enthrone	 v. 使登基；立…为王；任为主教；崇拜
revolution	 n. 革命；旋转；运行；循环
health	 n. 健康；卫生；保健；兴旺
revenge	 n. 报复；复仇 v. 报复；替…报仇；洗雪
wary	 adj. 谨慎的；机警的；惟恐的；考虑周到的
blanket	 n. 毛毯，毯子；毯状物，覆盖层 adj. 总括的，全体的；没有限制的 v. 覆盖，掩盖；用毯覆盖
flighty	 adj. 轻浮的；轻狂的；心情浮动的
sectarian	 adj. 宗派的；偏狭的；党派心强的 n. 属于宗派的人；宗派心强的人；宗派主义者
beyond	 prep. 超过；越过；那一边；在较远的一边 adv. 在远处；在更远处 n. 远处
panther	 n. 豹；黑豹；美洲豹
curiosity	 n. 好奇，好奇心；珍品，古董，古玩
farsighted	 adj. 有远见的；能看到远处的
eventuality	 n. 可能性；可能发生的事；不测的事
orchid	 n. 兰花；[植] 兰科植物；淡紫色 adj. 淡紫色的
physical	 adj. [物] 物理的；身体的；物质的；根据自然规律的，符合自然法则的 n. 体格检查
situation	 n. 情况；形势；处境；位置
aisle	 n. 通道，走道；侧廊
lush	 adj. 丰富的，豪华的；苍翠繁茂的 vi. 喝酒 n. 酒；酒鬼 vt. 饮
discernible	 adj. 可辨别的；可识别的
belong	 v. 属于，应归入；居住；适宜；应被放置
immoral	 adj. 不道德的；邪恶的；淫荡的
polarity	 n. [物] 极性；两极；对立
maid	 n. 女仆；少女 vt. 侍候；做新娘的女傧相 vi. 当女仆
spiteful	 adj. 怀恨的，恶意的
cryptic	 adj. 神秘的，含义模糊的；[动] 隐藏的
refresh	 v. 更新；使……恢复；使……清新；消除……的疲劳
prophecy	 n. 预言；预言书；预言能力
bewilder	 v. 使迷惑，使不知所措
undercover	 adj. 秘密的，秘密从事的；从事间谍活动的
imposing	 adj. （建筑物等）壮观的；威风的；（仪表）堂堂的；给人深刻印象的 v. impose的ing形式
sympathy	 n. 同情；慰问；赞同
unleash	 v. 发动；解开…的皮带；解除…的束缚
exponent	 n. [数] 指数；典型；说明者，说明物 adj. 说明的
homily	 n. 说教；训诫
rainbow	 n. 彩虹；五彩缤纷的排列；幻想 adj. 五彩缤纷的；彩虹状的 vt. 使呈彩虹状；如彩虹般装饰 vi. 呈彩虹状
unswerving	 adj. 坚定的；始终不渝的；不歪的
revive	 v. 复兴；复活；苏醒；恢复精神
differential	 adj. 微分的；差别的；特异的 n. 微分；差别
committed	 adj. 坚定的；效忠的；承担义务的 v. 承诺；委托；干坏事；付诸（commit的过去分词）
seduction	 n. 诱惑；魅力；（复数）诱惑物
honeymoon	 n. 蜜月；蜜月假期；（新生事物、新建关系等的）短暂的和谐时期 v. 度蜜月
pattern	 n. 模式；图案；样品 v. 模仿；以图案装饰
rueful	 adj. 可怜的；悲伤的；悔恨的
throttle	 n. 节流阀；[车辆] 风门；喉咙 v. 压制，扼杀；使……窒息；使……节流
humidity	 n. [气象] 湿度；湿气
filth	 n. 污秽；肮脏；猥亵；不洁
sic	 adv. （拉）原文如此（通常放在括号内）
feasible	 adj. 可行的；可能的；可实行的
wax	 n. 蜡；蜡状物 v. 给…上蜡 adj. 蜡制的；似蜡的
downstream	 adv. 下游地；顺流而下 adj. 下游的；顺流的
airforce	 n. 空军
snarl	 n. 咆哮；怒骂；混乱 v. 咆哮；怒骂；缠结
nightclub	 n. 夜总会 vi. 去夜总会
gloat	 v. 幸灾乐祸；心满意足地注视 n. 幸灾乐祸；贪婪的盯视；洋洋得意
buoyancy	 n. 浮力；轻快；轻松的心情；（股票）保持高价或回升
studio	 n. 工作室；[广播][电视] 演播室；画室；电影制片厂
emotive	 adj. 感情的；情绪的；表现感情的
hatchet	 n. 短柄小斧 vt. 用短柄小斧砍伐；扼杀
proficiency	 n. 精通，熟练
statesman	 n. 政治家；国务活动家
marijuana	 n. 大麻；大麻毒品
maternal	 adj. 母亲的；母性的；母系的；母体遗传的
reputable	 adj. 声誉好的；受尊敬的；卓越的
disobey	 v. 违反；不服从
dissident	 n. 持不同政见者，意见不同的人 adj. 持不同政见的，意见不同的
equidistant	 adj. 等距的；距离相等的
footbridge	 n. [交] 人行桥
secular	 adj. 世俗的；长期的；现世的；不朽的 n. 修道院外的教士，(对宗教家而言的) 俗人
randy	 adj. 好色的；喧闹的；粗俗的 n. 莽汉；粗鲁悍妇
scrub	 n. 矮树；洗擦；擦洗者；矮小的人（或物） v. 用力擦洗；使净化 adj. 矮小的；临时凑合的；次等的
evaporate	 v. 使……蒸发；使……脱水；使……消失
abstention	 n. 弃权；节制；戒绝
fete	 n. 祭祀；庆祝；节日；游乐会 v. 宴请；招待
chancellor	 n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
extraneous	 adj. 外来的；没有关联的；来自体外的
hideous	 adj. 可怕的；丑恶的
adaptable	 adj. 适合的；能适应的；可修改的
foretell	 v. 预言；预示；预告
suit	 v. 适合；使适应 n. 诉讼；恳求；套装，西装；一套外衣
pupil	 n. 学生；[解剖] 瞳孔；未成年人
bump	 n. 肿块，隆起物；撞击 v. 碰撞，撞击；颠簸而行 adv. 突然地，猛烈地
revenue	 n. 税收，国家的收入；收益
companionship	 n. 友谊；陪伴；交谊
industrialise	 v. 使工业化（等于industrialize）
nitrogen	 n. [化学] 氮
equivocal	 adj. 模棱两可的；可疑的
