paragraph	 n. 段落；短评；段落符号 v. 将…分段
veil	 n. 面纱；面罩；遮蔽物；托词 v. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
skeleton	 n. 骨架，骨骼；纲要；骨瘦如柴的人 adj. 骨骼的；骨瘦如柴的；概略的
quench	 v. 熄灭，[机] 淬火；解渴；结束；冷浸
vein	 n. 血管；叶脉；[地质] 岩脉；纹理；翅脉；性情 v. 使成脉络；象脉络般分布于
quota	 n. 配额；定额；限额
intelligible	 adj. 可理解的；明了的；仅能用智力了解的
blow	 n. 吹；打击；殴打 v. 风吹；喘气
flatter	 v. 奉承；谄媚；使高兴
decimal	 adj. 小数的；十进位的 n. 小数
diagnose	 v. 诊断；断定
vinegar	 n. 醋
infect	 v. 感染，传染
costume	 n. 服装，装束；戏装，剧装 v. 给…穿上服装
thief	 n. 小偷，贼
turkey	 n. 火鸡；笨蛋；失败之作
maneuver	 n. [军] 机动；演习；策略；调遣 v. [军] 机动；演习；调遣；用计谋
mist	 n. 薄雾；视线模糊不清；模糊不清之物 v. 下雾；变模糊
arch	 n. 弓形，拱形；拱门 adj. 主要的 v. 使…弯成弓形；用拱连接
shipment	 n. 装货；装载的货物
bleak	 adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
oven	 n. 炉，灶；烤炉，烤箱
hypocrisy	 n. 虚伪；伪善
discharge	 v. 解雇；卸下；放出；免除 n. 排放；卸货；解雇
trifle	 n. 琐事；蛋糕；少量 v. 开玩笑；闲混；嘲弄
circumference	 n. 圆周；周长；胸围
clone	 n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物 v. 无性繁殖，复制
graze	 v. 放牧；擦伤 n. 放牧；轻擦
basement	 n. 地下室；地窖
comparable	 adj. 可比较的；比得上的
february	 n. 二月
voltage	 n. [电] 电压
instrumental	 adj. 乐器的；有帮助的；仪器的，器械的 n. 器乐曲；工具字，工具格
fist	 n. 拳，拳头；〈口〉笔迹；掌握；[印]指标参见号 vt. 紧握；握成拳；用拳打
carrot	 n. 胡萝卜
screw	 v. 旋，拧；压榨；强迫 n. 螺旋；螺丝钉；吝啬鬼
thigh	 n. 大腿，股
horrible	 adj. 可怕的；极讨厌的
oil	 n. 油；石油；油画颜料 v. 加油；涂油；使融化
missile	 n. 导弹；投射物 adj. 导弹的；可投掷的；用以发射导弹的
refund	 v. 退还；偿还，归还 n. 退款；偿还，偿还额
wet	 adj. [气象][物] 潮湿的；有雨的 n. 雨天；湿气 v. 弄湿
sane	 adj. 健全的；理智的；[临床] 神志正常的 n. (Sane)人名；(日)实(姓)；(日)实(名)；(芬、塞、冈、几比、塞内)萨内
sand	 n. 沙；沙地；沙洲；沙滩；沙子 v. 撒沙于；以沙掩盖；用砂纸等擦平或磨光某物；使撒沙似地布满；给…掺沙子
stair	 n. 楼梯，阶梯；梯级
vapour	 n. 蒸气（等于vapor）；水蒸气
unify	 v. 统一；使相同，使一致
inland	 n. 内地；内陆 adj. 内陆的；内地的；国内的 adv. 在内地；向内地；向内陆；在内陆
hydrogen	 n. [化学] 氢
clever	 adj. 聪明的；机灵的；熟练的
breed	 v. 繁殖；饲养；产生 n. [生物] 品种；种类，类型
invariably	 adv. 总是；不变地；一定地
lecture	 n. 演讲；讲稿；教训 v. 演讲；训诫
stall	 n. 货摊；畜栏；托辞 v. 停止，停转；拖延
snowstorm	 n. 暴风雪；雪暴
boundary	 n. 边界；范围；分界线
negro	 n. 黑人 adj. 黑人的
pause	 n. 暂停；间歇 v. 暂停，停顿，中止；踌躇
poll	 n. 投票；民意测验；投票数；投票所 v. 投票；剪短；对…进行民意测验；获得选票 adj. 无角的；剪过毛的；修过枝的
pole	 n. 杆；极点；电极 v. 用竿支撑
troublesome	 adj. 麻烦的；讨厌的；使人苦恼的
oval	 adj. 椭圆的；卵形的 n. 椭圆形；卵形
sting	 n. 刺痛；讽刺，刺激；刺毛 v. 刺；驱使；使…苦恼；使…疼痛
handicap	 n. 障碍；不利条件，不利的因素 v. 妨碍，阻碍；使不利
apology	 n. 道歉；谢罪；辩护；勉强的替代物
portrait	 n. 肖像；描写；半身雕塑像
compress	 v. 受压缩小
cough	 n. 咳嗽，咳嗽声；咳嗽病 v. 咳出
recede	 v. 后退；减弱
neat	 adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
stalk	 n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步 v. 追踪，潜近；高视阔步
stale	 adj. 陈腐的；不新鲜的 v. 变陈旧；撒尿；变得不新鲜 n. 尿
salt	 n. 盐；风趣，刺激性 adj. 咸水的；含盐的，咸味的；盐腌的；猥亵的 v. 用盐腌；给…加盐；将盐撒在道路上使冰或雪融化
pound	 n. 英镑；重击，重击声；兽栏；拘留所 v. 捣烂；敲打；监禁，拘留
neck	 n. 脖子；衣领；海峡 v. 搂著脖子亲吻；变狭窄
throw	 v. 投；抛；掷 n. 投掷；冒险
pond	 vt. 筑成池塘 vi. 筑成池塘 n. 池塘
stamp	 n. 邮票；印记；标志；跺脚 v. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
fraction	 n. 分数；部分；小部分；稍微
objection	 n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
desolate	 adj. 荒凉的；无人烟的 v. 使荒凉；使孤寂
roast	 v. 烤，焙；烘，烘烤；暴露于某种热力下以得温暖 adj. 烘烤的；烤过的 n. 烤肉；烘烤
headquarters	 n. 总部；指挥部；司令部
arrival	 n. 到来；到达；到达者
handkerchief	 n. 手帕；头巾，围巾
stomach	 n. 胃；腹部；胃口 v. 忍受；吃下
radioactive	 adj. [核] 放射性的；有辐射的
sorrow	 n. 悲伤；懊悔；伤心事 v. 懊悔；遗憾；感到悲伤
tanker	 n. 油轮；运油飞机；油槽车；坦克手
rotate	 v. 旋转；循环 adj. [植] 辐状的
curl	 v. 使…卷曲；使卷起来 n. 卷曲；卷发；螺旋状物
receipt	 n. 收到；收据；收入 v. 收到
integral	 adj. 积分的；完整的，整体的；构成整体所必须的 n. 积分；部分；完整
bread	 n. 面包；生计 v. 在…上洒面包屑
import	 n. 进口，进口货；输入；意思，含义；重要性 v. 输入，进口；含…的意思
synthesis	 n. 综合，[化学] 合成；综合体
cassette	 n. 盒式磁带；暗盒；珠宝箱；片匣
knife	 n. 刀；匕首 v. 用刀切；（口）伤害
butterfly	 n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
ring	 v. 按铃；敲钟；回响；成环形 n. 戒指；铃声，钟声；拳击场；环形物
welfare	 n. 福利；幸福；福利事业；安宁 adj. 福利的；接受社会救济的
destination	 n. 目的地，终点
discount	 n. 折扣；贴现率 v. 贴现；打折扣出售商品
gas	 n. 气体；[矿业] 瓦斯；汽油；毒气 v. 加油；毒（死）
gay	 adj. 快乐的；放荡的；艳丽的 n. 同性恋者
poster	 n. 海报，广告；招贴
abundance	 n. 充裕，丰富
mosquito	 n. 蚊子
riot	 n. 暴乱；放纵；蔓延 v. 骚乱；放荡
closet	 n. 壁橱；议事室，密室；小房间 adj. 秘密的，私下的；空谈的 v. 把…关在私室中
recover	 v. 恢复；弥补；重新获得 n. 还原至预备姿势
dizzy	 adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的 v. 使头晕眼花；使混乱；使茫然 n. (Dizzy)人名；(英)迪齐
oak	 n. 橡树；橡木色；橡木家具 adj. 栎树的；栎木制的
consecutive	 adj. 连贯的；连续不断的
rotary	 adj. 旋转的，转动的；轮流的 n. 旋转式机器；[动力] 转缸式发动机
oar	 n. 桨；橹；桨手 vt. 划（船） vi. 划行
flight	 n. 飞行；班机；逃走 v. 射击；使惊飞
kettle	 n. 壶；[化工] 釜；罐；鼓
proposal	 n. 提议，建议；求婚
ripe	 adj. 熟的，成熟的；时机成熟的 vt. 搜查；调查 vi. 进行搜查 n. (Ripe)人名；(意、瑞典)里佩
resemblance	 n. 相似；相似之处；相似物；肖像
uncover	 v. 发现；揭开；揭露
illustration	 n. 说明；插图；例证；图解
nursery	 n. 苗圃；托儿所；温床
niece	 n. 外甥女，侄女
refuge	 n. 避难；避难所；庇护 vt. 给予…庇护；接纳…避难 vi. 避难；逃避
buffet	 n. 自助餐；小卖部；打击；猛烈冲击 v. 与…搏斗；连续猛击 adj. 自助的；自助餐的
squeeze	 v. 挤；紧握；勒索 n. 压榨；紧握；拥挤；佣金
envisage	 v. 正视，面对；想像
torture	 v. 折磨；拷问；歪曲 n. 折磨；拷问；歪曲
champion	 n. 冠军；拥护者；战士 v. 支持；拥护 adj. 优胜的；第一流的
republic	 n. 共和国；共和政体
fling	 v. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动 n. 掷，抛；嘲弄；急冲
musical	 adj. 音乐的；悦耳的 n. 音乐片
dusk	 n. 黄昏，薄暮；幽暗，昏暗 adj. 微暗的 v. 使变微暗
bulletin	 n. 公告，公报 v. 公布，公告
stiff	 adj. 呆板的；坚硬的；严厉的；拘谨的 adv. 僵硬地；彻底地 n. 死尸；令人讨厌者；流通票据；劳动者 v. 诈骗；失信
stack	 n. 堆；堆叠 v. 使堆叠；把…堆积起来
cotton	 n. 棉花；棉布；棉线 v. 一致；理解；和谐；亲近 adj. 棉的；棉制的
fixture	 n. 设备；固定装置；固定于某处不大可能移动之物
frog	 n. 青蛙；[铁路] 辙叉；饰扣 v. 捕蛙
earnest	 adj. 认真的，热心的；重要的 n. 认真；定金；诚挚
wax	 n. 蜡；蜡状物 v. 给…上蜡 adj. 蜡制的；似蜡的
symphony	 n. 交响乐；谐声，和声
loudspeaker	 n. 喇叭，扬声器；扩音器
naval	 adj. 海军的；军舰的 n. (Naval)人名；(西、德、印)纳瓦尔
spacious	 adj. 宽敞的，广阔的；无边无际的
mould	 v. 发霉 n. 模具；霉
linger	 v. 徘徊；苟延残喘；磨蹭 n. (Linger)人名；(德、捷、瑞典)林格；(法)兰热
retention	 n. 保留；扣留，滞留；记忆力；闭尿
heave	 v. 举起；使起伏；投掷；恶心；发出（叹息等） n. 举起；起伏；投掷；一阵呕吐
sophomore	 n. 大学二年级生；（美）有二年经验的人 adj. 二年级的；二年级学生的
driver	 n. 驾驶员；驱动程序；起子；传动器
swarm	 v. 挤满；成群浮游；云集 n. 蜂群；一大群
poem	 n. 诗
playground	 n. 运动场，操场；游乐场
avert	 v. 避免，防止；转移
hover	 v. 盘旋，翱翔；徘徊 n. 徘徊；盘旋；犹豫
oath	 n. 誓言，誓约；诅咒，咒骂
marxist	 n. 马克思主义者 adj. 马克思主义的
evacuate	 v. 疏散，撤退；排泄
bleed	 v. 使出血；榨取
wood	 n. 木材；木制品；树林 vi. 收集木材 vt. 植林于；给…添加木柴
arrow	 n. 箭，箭头；箭状物；箭头记号 vt. 以箭头指示；箭一般地飞向
installation	 n. 安装，装置；就职
classify	 v. 分类；分等
slipper	 n. 拖鞋 vt. 用拖鞋打
intercourse	 n. 性交；交往；交流
anticipate	 v. 预期，期望；占先，抢先；提前使用
juice	 n. （水果）汁，液；果汁
wool	 n. 羊毛；毛线；绒线；毛织品；毛料衣物
undermine	 v. 破坏，渐渐破坏；挖掘地基
kitchen	 n. 厨房；炊具；炊事人员
astronomy	 n. 天文学
declare	 v. 宣布，声明；断言，宣称
proceeding	 n. 进行；程序；诉讼；事项 v. 开始；继续做；行进（proceed的ing形式）
prick	 v. 刺，戳；刺伤，刺痛；竖起 n. 刺，扎；刺痛，刺伤；阴茎；锥 adj. 竖起的
supper	 n. 晚餐，晚饭；夜宵
owl	 n. 猫头鹰；枭；惯于晚上活动的人
warmth	 n. 温暖；热情；激动
latitude	 n. 纬度；界限；活动范围
multitude	 n. 群众；多数
wheel	 n. 车轮；方向盘；转动 v. 转动；使变换方向；给…装轮子
breakfast	 n. 早餐；早饭 v. 吃早餐
bucket	 n. 桶，水桶；铲斗；一桶的量 v. 倾盆而下；颠簸着行进
explosive	 adj. 爆炸的；爆炸性的；爆发性的 n. 炸药；爆炸物
digital	 adj. 数字的；手指的 n. 数字；键
belly	 n. 腹部；胃；食欲 v. 涨满；鼓起
prohibit	 v. 阻止，禁止
lapse	 n. (一时的) 走神，判断错误
festival	 n. 节日；庆祝，纪念活动；欢乐 adj. 节日的，喜庆的；快乐的
appliance	 n. 器具；器械；装置
hail	 n. 冰雹；致敬；招呼；一阵 v. 致敬；招呼；向欢呼；猛发；使像下雹样落下（过去式hailed，过去分词hailed，现在分词hailing，第三人称单数hails） int. 万岁；欢迎
angle	 v. 钓鱼；谋取 n. 角度，角，方面
vulgar	 adj. 粗俗的；通俗的；本土的 n. 平民，百姓
passenger	 n. 旅客；乘客；过路人；碍手碍脚的人
intervene	 v. 干涉；调停；插入
locomotive	 adj. 火车头的；运动的；移动的 n. 机车；火车头
reclaim	 v. 开拓；回收再利用；改造某人，使某人悔改 n. 改造，感化；再生胶
irony	 n. 讽刺；反语；具有讽刺意味的事 adj. 铁的；似铁的
prompt	 adj. 敏捷的，迅速的；立刻的 v. 提示；促进；激起；（给演员）提白 n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格 adv. 准时地
queue	 n. 队列；长队；辫子 v. 排队；排队等候
breadth	 n. 宽度，幅度；宽宏
surrender	 v. 使投降；放弃；交出；听任 n. 投降；放弃；交出；屈服
earthquake	 n. 地震；大动荡
telegraph	 n. [通信] 电报机，电报 v. 电汇；流露出；打电报给…
transistor	 n. 晶体管（收音机）
hemisphere	 n. 半球
electricity	 n. 电力；电流；强烈的紧张情绪
pamphlet	 n. 小册子
excursion	 n. 偏移；远足；短程旅行；离题；游览，游览团
overnight	 adv. 通宵；突然；昨晚 adj. 晚上的；通宵的；前夜的 n. 头天晚上；一夜的逗留 vt. 连夜快递 vi. 过一夜
rotten	 adj. 腐烂的；堕落的；恶臭的；虚弱的；极坏的 adv. 非常 n. (Rotten)人名；(法、德)罗滕
certainty	 n. 必然；确实；确实的事情
transient	 adj. 短暂的；路过的 n. 瞬变现象；过往旅客；候鸟
coffee	 n. 咖啡；咖啡豆；咖啡色
wreath	 n. 花冠；圈状物 v. 环绕（等于wreathe）
poison	 v. 污染；使中毒，放毒于；败坏；阻碍 n. 毒药，毒物；酒；有毒害的事物；[助剂] 抑制剂 adj. 有毒的
shiver	 n. 颤抖，战栗；碎片 v. 颤抖；哆嗦；打碎
salesman	 n. 推销员；售货员
angel	 n. 天使；守护神；善人 vt. 出钱支持
christ	 n. 基督；救世主 int. 天啊！
shutter	 n. 快门；百叶窗；关闭物；遮板 v. 为…装百叶窗；以百叶窗遮闭
raid	 n. 袭击；突袭；搜捕；抢劫 v. 对…进行突然袭击
weld	 v. 焊接；使结合；使成整体 n. 焊接；焊接点
dump	 v. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销 n. 垃圾场；仓库；无秩序地累积
tube	 n. 管；电子管；隧道；电视机 v. 使成管状；把…装管；用管输送
compass	 n. 指南针，罗盘；圆规 v. 包围
shopkeeper	 n. 店主，老板
facility	 n. 设施；设备；容易；灵巧
definite	 adj. 一定的；确切的
dull	 adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的 v. 使迟钝；使阴暗；缓和 n. (Dull)人名；(罗、匈)杜尔；(柬)杜；(英)达尔
tuck	 v. 卷起；挤进；用某物舒适地裹住；使有褶裥；收拢；大口吃；使隐藏 n. 食物；船尾突出部；缝摺；抱膝式跳水；活力；鼓声
whistle	 n. 口哨；汽笛；呼啸声 v. 吹口哨；鸣汽笛
notebook	 n. 笔记本，笔记簿；手册
wolf	 n. 狼；色狼；残忍贪婪之人 v. 大吃；狼吞虎咽地吃
timely	 adj. 及时的；适时的 adv. 及时地；早
harvest	 n. 收获；产量；结果 v. 收割；得到
fry	 n. 鱼苗；油炸食物 v. 油炸；油煎
tension	 n. 张力，拉力；紧张，不安；电压 vt. 使紧张；使拉紧
quarterly	 adj. 季度的，按季度的；一年四次的 adv. 按季度，[农] 一季一次地；纵横四分地 n. 季刊
flash	 v. 使闪光；反射 n. 闪光，闪现；一瞬间 adj. 闪光的，火速的
marble	 n. 大理石；大理石制品；弹珠 adj. 大理石的；冷酷无情的
angry	 adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
distinct	 adj. 明显的；独特的；清楚的；有区别的
uneasy	 adj. 不舒服的；心神不安的；不稳定的
opt	 v. 选择
satire	 n. 讽刺；讽刺文学，讽刺作品
glad	 adj. 高兴的；乐意的；令人高兴的；灿烂美丽的 vt. 使高兴 n. (Glad)人名；(塞、瑞典)格拉德；(英)格莱德；(法、挪)格拉
grass	 n. 草；草地，草坪 v. 放牧；使……长满草；使……吃草
locker	 n. 柜，箱；上锁的人；有锁的橱柜；锁扣装置；有锁的存物柜
occasional	 adj. 偶然的；临时的；特殊场合的
wholesome	 adj. 健全的；有益健康的；合乎卫生的；审慎的
hunger	 n. 饿，饥饿；渴望 v. 渴望；挨饿
violate	 v. 违反；侵犯，妨碍；亵渎
recycle	 v. 使再循环；使…重新利用 n. 再生；再循环；重复利用
